day,time,course_name,semester
Rabu,13:30 - 15:20,Manajemen Basis Data - G,4
Rabu,13:30 - 15:20,Pembelajaran Mesin - H,4
Rabu,13:30 - 15:20,Pemrograman Perangkat Bergerak - D,6
Rabu,13:30 - 15:20,Pengantar Teknologi Elektro dan Informatika Cerdas - C,2
Rabu,13:30 - 15:20,Perancangan dan Analisis Algoritma - F,4
Rabu,13:30 - 15:20,Perancangan Perangkat Lunak - F,4
Rabu,13:30 - 15:20,Probabilitas dan Statistik - D,4
Rabu,13:30 - 15:20,Probabilitas dan Statistik - IUP,4
Rabu,13:30 - 15:20,Struktur Data - C,2
Rabu,13:30 - 15:20,TD Data Mining-K,1
Rabu,13:30 - 15:20,Topik Dalam Pengaman Jaringan - A,1
Rabu,13:30 - 15:20,Topik Dalam Penjaminan Kualitas Perangkat Lunak - A,1
Rabu,15:30 - 17:20,Game Edukasi dan Simulasi - T,6
Rabu,15:30 - 17:20,Organisasi Komputer - E,2
Rabu,15:30 - 17:20,Otomata - IUP,4
Rabu,15:30 - 17:20,Pemrograman Jaringan - E,4
Rabu,15:30 - 17:20,Perancangan dan Analisis Algoritma - G (EN),4
Rabu,15:30 - 17:20,Probabilitas dan Statistik - F,4
Rabu,16:30 - 18:20,Topik Dalam Big Data - P,1
Rabu,18:30 - 20:20,Komputasi Berbasis Jaringan - P,1
Rabu,18:30 - 20:20,Topik Dalam Pemodelan dan Simulasi - P,1
Rabu,18:30 - 20:20,Topik Dalam Text Mining - P,1
Kamis,07:00 - 08:50,Filsafat Ilmu-K,1
Kamis,07:00 - 08:50,Grafika Komputer - RKA (N),4
Kamis,07:00 - 08:50,Interaksi Manusia dan Komputer - IUP,6
Kamis,07:00 - 08:50,Komputasi Numerik - D,2
Kamis,07:00 - 08:50,Perancangan dan Analisis Algoritma - H (EN),4
Kamis,07:00 - 08:50,Probabilitas dan Statistik - RPL (M),4
Kamis,07:00 - 08:50,Riset Operasi - T,5
Kamis,07:00 - 08:50,Sistem Operasi - E,2
Kamis,07:00 - 08:50,Topik Dalam Analisis Data Multivariat - A,1
Kamis,07:00 - 08:50,Topik Dalam Text Mining - A,1
Kamis,10:00 - 11:50,Arsitektur Perangkat Lunak - RPL (M),4
Kamis,10:00 - 11:50,Interaksi Manusia dan Komputer - C,6
Kamis,10:00 - 11:50,Interaksi Manusia dan Komputer - D,6
Kamis,10:00 - 11:50,Interaksi Manusia dan Komputer - RKA (N),4
Kamis,10:00 - 11:50,Otomata - K,4
Kamis,10:00 - 11:50,Pembelajaran Mesin - IUP (J),4
Kamis,10:00 - 11:50,Pemrograman Perangkat Bergerak - E,6
Kamis,10:00 - 11:50,Pengantar Teknologi Elektro dan Informatika Cerdas - IUP,2
Kamis,10:00 - 11:50,Perancangan dan Analisis Algoritma - K (EN),4
Kamis,10:00 - 11:50,Probabilitas dan Statistik - G,4
Kamis,10:00 - 11:50,TD Rekayasa Kebutuhan-K,1
Kamis,10:00 - 11:50,Text Mining - T,6
Kamis,11:00 - 11:50,Kalkulus 2,2
Kamis,13:30 - 15:20,Big Data - T (EN),7
Kamis,13:30 - 15:20,Deep Learning - RKA (N),4
Kamis,13:30 - 15:20,Interaksi Manusia dan Komputer - E,6
Kamis,13:30 - 15:20,Matematika Diskrit - RPL (M),2
Kamis,13:30 - 15:20,Pemrograman Perangkat Bergerak - F,6
Kamis,13:30 - 15:20,Pemrograman Perangkat Bergerak - G,6
Kamis,13:30 - 15:20,Perancangan dan Analisis Algoritma - IUP,4
Kamis,13:30 - 15:20,Perancangan Perangkat Lunak - G,4
Kamis,13:30 - 15:20,Perancangan Perangkat Lunak - H,4
Kamis,13:30 - 15:20,Probabilitas dan Statistik - RKA (N),2
Kamis,13:30 - 15:20,Struktur Data - D,2
Kamis,13:30 - 15:20,Struktur Data - E,2
Kamis,13:30 - 15:20,TD Pengaman Jaringan Komputer-K,1
Kamis,13:30 - 15:20,Topik Dalam Visi Komputer - A,1
Kamis,15:30 - 17:20,Probabilitas dan Statistik - H,4
Kamis,15:30 - 17:20,Topik Dalam Pemodelan dan Simulasi - A,1
Kamis,16:30 - 18:20,Topik Dalam Audit Sistem - P,1
